timestamp,spot_0_iv_0,spot_0_iv_5,spot_0_iv_-5,spot_2_iv_0,spot_2_iv_5,spot_2_iv_-5,spot_-2_iv_0,spot_-2_iv_5,spot_-2_iv_-5
10:35:00.0000000000,-152918.31365,-4865151.30828,5200838.63488,-84040833.00200,-80576954.70453,-87571270.18468,-25393650.20115,-23723474.06257,-27171095.78219
10:40:00.0000000000,-75181.80843,-5088234.85803,5633644.27680,-89289900.05155,-85675123.65614,-92943797.43722,-27188350.01716,-25384479.71736,-29087636.96190
10:45:00.0000000000,-125312.44114,-5217487.55053,5680935.62851,-94461960.15897,-90673805.32032,-98268501.98118,-25840222.66085,-23989159.62807,-27841756.44524
10:50:00.0000000000,-70442.44553,-5370202.12024,5961977.64225,-98250554.05308,-94273177.43867,-102286464.30974,-28791343.27604,-26866081.46154,-30831937.49069
10:55:00.0000000000,-47211.79148,-5454843.88475,6106379.66404,-102113940.29637,-98092626.75123,-106130213.02579,-28873799.35242,-26861087.46654,-31018498.49112
11:00:00.0000000000,-197015.60481,-5699906.85119,6048817.63279,-103926298.80723,-99822440.85396,-108054454.86045,-32002591.75553,-29955168.36632,-34136808.92156
11:05:00.0000000000,-39137.38467,-5573928.65555,6234535.72732,-105970169.43190,-101825059.07488,-110135154.44477,-32061140.01298,-30002432.01014,-34203409.74323
11:10:00.0000000000,-125512.31834,-5683526.86401,6143125.36145,-105844799.29292,-101524425.38120,-110277309.57874,-37337573.60472,-35306248.63913,-39367023.77662
11:15:00.0000000000,-96680.21548,-5712685.58276,6248315.32388,-107775437.03702,-103632274.40490,-111938686.83216,-34219485.24066,-32156762.58495,-36338673.56267
11:20:00.0000000000,-91789.39895,-5729703.01505,6268669.77508,-108747606.72348,-104680493.70558,-112815924.06331,-34301812.63988,-32235492.10123,-36420549.44576
11:25:00.0000000000,-116930.17404,-5796504.73982,6276243.28507,-109275087.17202,-105191893.82664,-113373023.45069,-35529065.02051,-33495352.90832,-37593829.44596
11:30:00.0000000000,-47731.88096,-3817237.38924,4076591.01996,-120774085.70388,-116460346.84691,-125250956.85539,22669118.73593,22547685.11084,22708721.03748
11:35:00.0000000000,-142752.42595,-4208548.94863,4350579.24783,-117616623.55457,-113320258.45276,-122048164.43953,8686521.29119,9013068.66862,8319873.34293
11:40:00.0000000000,-83434.46817,-4506909.57364,4793871.69293,-115834685.98600,-111596900.42579,-120209352.85776,-3976194.59807,-3253719.89051,-4710408.48293
11:45:00.0000000000,-145232.78523,-4111910.20644,4295827.20568,-94580994.58174,-91210299.10549,-97918862.96895,-11245103.31655,-10166382.02257,-12370303.72369
11:50:00.0000000000,3632.13572,-1787494.90206,2022870.54460,-20588392.79989,-19415805.87695,-21748915.05312,-28633613.05473,-27477761.83418,-29772229.08850
11:55:00.0000000000,-106494.46714,-2752550.00200,2854977.23948,-59040885.05865,-57214785.33176,-60738870.33912,-15320794.73058,-14164021.79438,-16557367.64607
12:00:00.0000000000,-55468.65296,-1732969.30756,1763187.05421,-26424388.28724,-25726972.30058,-27046438.68199,-26914682.07876,-25664550.99372,-28230816.74444
12:05:00.0000000000,-24511.25925,-2423411.97895,2640594.88842,-41198140.59612,-39923092.74721,-42356849.82886,-30946090.02122,-29543537.88709,-32373075.19459
12:10:00.0000000000,-58931.78392,-3074844.73319,3318021.37686,-54202898.16035,-52719514.66963,-55490821.05009,-36692913.97376,-34980185.49177,-38417757.23898
12:15:00.0000000000,-39856.02221,-3772489.12763,4141636.27935,-63164111.18640,-61265248.29612,-64860080.07112,-49235782.54442,-47272204.89294,-51150047.86708
12:20:00.0000000000,-43821.36093,-4264550.85259,4677861.72693,-66223685.69189,-64195059.96747,-68040575.99868,-61627785.75668,-59366838.31369,-63808660.84767
12:25:00.0000000000,-33352.06629,-3843394.27078,4240833.26532,-69213396.40068,-67285565.48922,-70917286.64381,-44282370.13848,-42540035.04162,-45941096.57711
12:30:00.0000000000,-5294.30963,-4053845.99186,4542886.92241,-68967587.64864,-67043982.63584,-70665543.20798,-54836320.88158,-52775703.18505,-56792538.08088
12:35:00.0000000000,36568.52647,-1817429.11689,1986868.27427,-2466097.22206,-2306551.53665,-2588022.21918,-70890838.56333,-68579540.54367,-73133774.22200
12:40:00.0000000000,-72.78768,-2470136.54157,2697694.89306,-17065606.99308,-16609062.44305,-17421436.85286,-68042246.87713,-65901086.36933,-70079421.31250
12:45:00.0000000000,-37247.74513,-2995116.04115,3134436.73351,-37559005.21033,-36722154.19938,-38221026.08766,-67555555.79368,-66327679.44469,-68771286.29284
12:50:00.0000000000,-56247.92411,-1821689.88978,1895442.79203,-49109364.29203,-47932750.54133,-50108178.20115,-7162363.72201,-6773987.38169,-7524019.47805
12:55:00.0000000000,-2507.13489,-2556045.87633,2827522.57147,-45387185.47703,-44339206.43761,-46243834.51210,-39783328.61388,-38662252.29618,-40802469.33651
13:00:00.0000000000,-18405.14566,-1938930.64195,2081444.56401,-57687662.30002,-56354114.58462,-58820721.55780,-6333471.03617,-5836770.12244,-6779836.21040
13:05:00.0000000000,-44730.97617,-2592896.59055,2757826.91814,-54310643.19418,-53022454.74476,-55394942.64892,-33454893.56352,-32643731.27253,-34155189.48045
13:10:00.0000000000,-7623.63381,-3139231.00970,3455794.41366,-51154668.38125,-50022915.37713,-52080087.43341,-56003860.93681,-54734524.40234,-57110366.94138
